"SeaWEED.ID","Source","Sample_size_n_farms","study_id","Country","iso3c","Common.Name","Scientific.Name","clean_sci_name","Production_system_group","Intensity","Product","Yield_m2_per_t","Grow_out_period_days","FCR","Feed_type","feed_soy_new","feed_crops_new","feed_fmfo_new","feed_animal_new","Electricity_kwh","Diesel_L","Petrol_L","NaturalGas_L","data_type"
48,"Mungkung 2005",1,1,"Thailand","THA","Giant tiger prawn","Penaeus monodon","Penaeus monodon","Ponds","Intensive","1.8 kg block-frozen shrimp",263.0136986,120,1.9,"Compound and/or other",0.1299863514331,0.37996010418906,0.489948555401683,0.000104988976157503,2990,0,0,0,"raw"
51,"Iribarren 2010b",1,2,"Spain","ESP","Mediterranean mussel","Mytilus galloprovincialis","Mytilus galloprovincialis","On- and off-bottom","Extensive","1 kg fresh mussels",NA,NA,0,"Unfed",NA,NA,NA,NA,0,16,0,0,"raw"
54,"Cao 2011",9,3,"China","CHN","Whiteleg shrimp","Litopenaeus vannamei","Litopenaeus vannamei","Ponds","Semi-intensive","1 tonne live weight",1210,110,1,"Compound",0.136826982280906,0.347330031943838,0.515732471674183,0.000110514101073039,548,7,0,0,"raw"
54,"Cao 2011",9,4,"China","CHN","Whiteleg shrimp","Litopenaeus vannamei","Litopenaeus vannamei","Ponds","Semi-intensive","1 tonne live weight",1210,110,1,"Compound",0.136826982280906,0.347330031943838,0.515732471674183,0.000110514101073039,548,7,0,0,"raw"
54,"Cao 2011",9,5,"China","CHN","Whiteleg shrimp","Litopenaeus vannamei","Litopenaeus vannamei","Ponds","Semi-intensive","1 tonne live weight",1210,110,1,"Compound",0.136826982280906,0.347330031943838,0.515732471674183,0.000110514101073039,548,7,0,0,"raw"
55,"Cao 2011",9,6,"China","CHN","Whiteleg shrimp","Litopenaeus vannamei","Litopenaeus vannamei","Ponds","Intensive","1 tonne live weight",342,100,1.6,"Compound",0.136826982280906,0.347330031943838,0.515732471674183,0.000110514101073039,2550,2,0,0,"raw"
55,"Cao 2011",9,7,"China","CHN","Whiteleg shrimp","Litopenaeus vannamei","Litopenaeus vannamei","Ponds","Intensive","1 tonne live weight",342,100,1.6,"Compound",0.136826982280906,0.347330031943838,0.515732471674183,0.000110514101073039,2550,2,0,0,"raw"
55,"Cao 2011",9,8,"China","CHN","Whiteleg shrimp","Litopenaeus vannamei","Litopenaeus vannamei","Ponds","Intensive","1 tonne live weight",342,100,1.6,"Compound",0.136826982280906,0.347330031943838,0.515732471674183,0.000110514101073039,2550,2,0,0,"raw"
57,"Pelletier 2009",1,9,"Indonesia","IDN","Nile tilapia","Oreochromis niloticus","Oreochromis niloticus","Ponds","Intensive","1 tonne live weight",NA,NA,1.7,"Compound",0.525716288443004,0.422634663258101,0.0515408125924513,0.000108235706444148,2730,1,0,0,"raw"
58,"Pelletier 2009",1,10,"Indonesia","IDN","Nile tilapia","Oreochromis niloticus","Oreochromis niloticus","Cages & pens","Intensive","1 tonne live weight",NA,NA,1.7,"Compound",0.525716288443004,0.422634663258101,0.0515408125924513,0.000108235706444148,0,10,1,0,"raw"
60,"Aubin 2009",1,11,"Greece","GRC","European seabass","Dicentrarchus labrax","Dicentrarchus labrax","Cages & pens","Intensive","1 tonne live weight",NA,NA,1.8,"Compound",0.157877287247199,0.315754574494398,0.52625762415733,0.000110514101073039,NA,NA,NA,NA,"raw"
61,"Jerbi 2012",1,12,"Tunisia","TUN","European seabass","Dicentrarchus labrax","Dicentrarchus labrax","Recirculating and tanks","Intensive","1 tonne live weight",49.3,720,1.7,"Compound",NA,NA,NA,NA,NA,NA,NA,NA,"raw"
62,"Jerbi 2012",1,13,"Tunisia","TUN","European seabass","Dicentrarchus labrax","Dicentrarchus labrax","Recirculating and tanks","Intensive","1 tonne live weight",39.5,720,2.1,"Compound",NA,NA,NA,NA,NA,NA,NA,NA,"raw"
63,"Bosma 2009",28,14,"Vietnam","VNM","Pangas catfishes nei","Pangasius spp","Pangasius spp","Ponds","Intensive","1 tonne live weight",8.22,180,1.9,"Compound",0.209977952315007,0.639932807055259,0.149984251653576,0.000104988976157503,41,5,0,0,"raw"
63,"Bosma 2009",28,15,"Vietnam","VNM","Pangas catfishes nei","Pangasius spp","Pangasius spp","Ponds","Intensive","1 tonne live weight",8.22,180,1.9,"Compound",0.209977952315007,0.639932807055259,0.149984251653576,0.000104988976157503,41,5,0,0,"raw"
63,"Bosma 2009",28,16,"Vietnam","VNM","Pangas catfishes nei","Pangasius spp","Pangasius spp","Ponds","Intensive","1 tonne live weight",8.22,180,1.9,"Compound",0.209977952315007,0.639932807055259,0.149984251653576,0.000104988976157503,41,5,0,0,"raw"
63,"Bosma 2009",28,17,"Vietnam","VNM","Pangas catfishes nei","Pangasius spp","Pangasius spp","Ponds","Intensive","1 tonne live weight",8.22,180,1.9,"Compound",0.209977952315007,0.639932807055259,0.149984251653576,0.000104988976157503,41,5,0,0,"raw"
63,"Bosma 2009",28,18,"Vietnam","VNM","Pangas catfishes nei","Pangasius spp","Pangasius spp","Ponds","Intensive","1 tonne live weight",8.22,180,1.9,"Compound",0.209977952315007,0.639932807055259,0.149984251653576,0.000104988976157503,41,5,0,0,"raw"
64,"Aubin 2006",1,19,"France","FRA","Turbot","Scophthalmidae","Scophthalmidae","Recirculating and tanks","Intensive","1 tonne live weight",NA,365,1.2,"Compound",0.0989475109493233,0.187479494430297,0.713463631581962,0.000109363038417673,NA,NA,NA,NA,"raw"
66,"Iribarren 2010c",1,20,"Spain","ESP","Turbot","Scophthalmidae","Scophthalmidae","Recirculating and tanks","Intensive","1 kg turbot for consumption",NA,NA,1.6,"Compound",0.236559139784946,0.258064516129032,0.376344086021505,0.129032258064516,5197,1,0,0,"raw"
68,"Ayer 2007",1,21,"Canada","CAN","Arctic char","Salvelinus alpinus","Salvelinus alpinus","Recirculating and tanks","Intensive","1 tonne live weight",NA,365,1.4,"Compound",NA,NA,NA,NA,22600,279,0,0,"raw"
69,"Ayer 2007",1,22,"Canada","CAN","Atlantic salmon","Salmo salar","Salmo salar","Cages & pens","Intensive","1 tonne live weight",98.63013699,720,1.3,"Compound",NA,NA,NA,NA,0,29,36,10,"raw"
72,"Boissy 2011",1,23,"United Kingdom","GBR","Atlantic salmon","Salmo salar","Salmo salar","Cages & pens","Intensive","1 tonne live weight",NA,NA,1.1,"Compound",0.181798900116654,0.262598411279612,0.555496639245333,0.000106049358401382,861,372,0,0,"raw"
74,"Pelletier 2009",1,24,"Norway","NOR","Atlantic salmon","Salmo salar","Salmo salar","Cages & pens","Intensive","1 tonne live weight",NA,NA,1.1,"Compound",0.145984671609481,0.277970813064628,0.575939526349733,0.000104988976157503,20,15,0,0,"raw"
75,"Pelletier 2009",1,25,"UK","GBR","Atlantic salmon","Salmo salar","Salmo salar","Cages & pens","Intensive","1 tonne live weight",NA,NA,1.3,"Compound",0.0919903410141935,0.242974487678794,0.664930182330855,0.000104988976157503,42,20,0,0,"raw"
76,"Pelletier 2009",1,26,"Canada","CAN","Atlantic salmon","Salmo salar","Salmo salar","Cages & pens","Intensive","1 tonne live weight",NA,NA,1.3,"Compound",0.056,0.429,0.316,0.199,0,21,3,1,"raw"
77,"Pelletier 2009",1,27,"Chile","CHL","Atlantic salmon","Salmo salar","Salmo salar","Cages & pens","Intensive","1 tonne live weight",NA,NA,1.5,"Compound",0.145,0.282,0.422,0.151,63,21,5,0,"raw"
78,"Buchspies 2011",1,28,"Norway","NOR","Atlantic salmon","Salmo salar","Salmo salar","Cages & pens","Intensive","1 kg fillet",NA,NA,1.1,"Compound",0.000104977954629528,0.419911818518111,0.57987822557263,0.000104977954629528,NA,NA,NA,NA,"raw"
79,"Ellingsen 2006",1,29,"Norway","NOR","Atlantic salmon","Salmo salar","Salmo salar","Cages & pens","Intensive","200 g fillet (= 460 g live weight)",NA,NA,1.2,"Compound",0.0937397472151484,0.197895021898647,0.708255867847787,0.000109363038417673,NA,NA,NA,NA,"raw"
80,"Aubin 2009",1,30,"France","FRA","Rainbow trout","Oncorhynchus mykiss","Oncorhynchus mykiss","Recirculating and tanks","Intensive","1 tonne live weight",NA,NA,1.2,"Compound",0.121199266744436,0.181798900116654,0.696895783780508,0.000106049358401382,NA,NA,NA,NA,"raw"
81,"Boissy 2011",1,31,"France","FRA","Rainbow trout","Oncorhynchus mykiss","Oncorhynchus mykiss","Recirculating and tanks","Intensive","1 tonne live weight",NA,NA,1.1,"Compound",0.279970603086676,0.419955904630014,0.299968503307153,0.000104988976157503,2767,404,0,0,"raw"
84,"Papatryphon 2003",8,32,"France","FRA","Rainbow trout","Oncorhynchus mykiss","Oncorhynchus mykiss","Recirculating and tanks","Intensive","1 tonne live weight",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"raw"
84,"Papatryphon 2003",8,33,"France","FRA","Rainbow trout","Oncorhynchus mykiss","Oncorhynchus mykiss","Recirculating and tanks","Intensive","1 tonne live weight",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"raw"
84,"Papatryphon 2003",8,34,"France","FRA","Rainbow trout","Oncorhynchus mykiss","Oncorhynchus mykiss","Recirculating and tanks","Intensive","1 tonne live weight",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"raw"
85,"Papatryphon 2003",8,35,"France","FRA","Rainbow trout","Oncorhynchus mykiss","Oncorhynchus mykiss","Recirculating and tanks","Intensive","1 tonne live weight",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"raw"
85,"Papatryphon 2003",8,36,"France","FRA","Rainbow trout","Oncorhynchus mykiss","Oncorhynchus mykiss","Recirculating and tanks","Intensive","1 tonne live weight",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"raw"
85,"Papatryphon 2003",8,37,"France","FRA","Rainbow trout","Oncorhynchus mykiss","Oncorhynchus mykiss","Recirculating and tanks","Intensive","1 tonne live weight",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"raw"
86,"Papatryphon 2003",8,38,"France","FRA","Rainbow trout","Oncorhynchus mykiss","Oncorhynchus mykiss","Recirculating and tanks","Intensive","1 tonne live weight",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"raw"
86,"Papatryphon 2003",8,39,"France","FRA","Rainbow trout","Oncorhynchus mykiss","Oncorhynchus mykiss","Recirculating and tanks","Intensive","1 tonne live weight",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"raw"
86,"Papatryphon 2003",8,40,"France","FRA","Rainbow trout","Oncorhynchus mykiss","Oncorhynchus mykiss","Recirculating and tanks","Intensive","1 tonne live weight",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"raw"
87,"SamuelFitwi 2013",1,41,"Germany, Denmark",NA,"Rainbow trout","Oncorhynchus mykiss","Oncorhynchus mykiss","Ponds","Intensive","1 tonne live weight",20,NA,0.9,"Compound",NA,NA,NA,NA,2554,0,0,0,"raw"
88,"SamuelFitwi 2013",1,42,"Germany","DEU","Rainbow trout","Oncorhynchus mykiss","Oncorhynchus mykiss","Ponds","Intensive","1 tonne live weight",1600,NA,1.2,"Compound",NA,NA,NA,NA,NA,NA,NA,NA,"raw"
89,"SamuelFitwi 2013",1,43,"Denmark","DNK","Rainbow trout","Oncorhynchus mykiss","Oncorhynchus mykiss","Recirculating and tanks","Intensive","1 tonne live weight",15,NA,0.9,"Compound",NA,NA,NA,NA,19622,0,0,0,"raw"
90,"Gronroos 2006",1,44,"Finland","FIN","Rainbow trout","Oncorhynchus mykiss","Oncorhynchus mykiss","Cages & pens","Intensive","1 tonne slaughtered (ungutted)",NA,NA,1.3,"Compound",0.138282425899235,0.170193754952904,0.691412129496173,0.000111689651687843,NA,NA,NA,NA,"raw"
91,"dOrbcastel 2009",1,45,"France","FRA","Salmonids nei","Salmonidae","Salmonidae","Recirculating and tanks","Intensive","1 tonne live weight",NA,NA,1.1,"Compound",NA,NA,NA,NA,NA,NA,NA,NA,"raw"
92,"Tyedmers 2007",1,46,"United Kingdom","GBR","Salmonids nei","Salmonidae","Salmonidae","Cages & pens","Intensive","1 tonne fillets",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"raw"
143,"CajasDeGliniewicz 2016",1,47,"United States","USA","Mediterranean mussel","Mytilus galloprovincialis","Mytilus galloprovincialis","On- and off-bottom","Extensive","1 kg wet weight",NA,NA,NA,"Unfed",NA,NA,NA,NA,NA,NA,NA,NA,"raw"
