Input type,Input,Country/Region,Impact category,Units,Allocation,Value,Source,Product information
Crop,Cassava,Thailand,Freshwater eutrophication,kg P-eq / kg,Mass,0.00012,"Agri-footprint 5, ReCiPe characterization","Cassava root, dried, at farm/TH Mass"
Crop,Cassava,Thailand,Freshwater eutrophication,kg P-eq / kg,Gross energy content,0.00012,"Agri-footprint 5, ReCiPe characterization","Cassava root, dried, at farm/TH Energy"
Crop,Cassava,Thailand,Freshwater eutrophication,kg P-eq / kg,Economic,0.00012,"Agri-footprint 5, ReCiPe characterization","Cassava root, dried, at farm/TH Economic"
Crop,Cassava,Thailand,Global warming potential,kg CO2-eq / kg,Mass,0.338,"Agri-footprint 5, ReCiPe characterization","Cassava root, dried, at farm/TH Mass"
Crop,Cassava,Thailand,Global warming potential,kg CO2-eq / kg,Gross energy content,0.338,"Agri-footprint 5, ReCiPe characterization","Cassava root, dried, at farm/TH Energy"
Crop,Cassava,Thailand,Global warming potential,kg CO2-eq / kg,Economic,0.338,"Agri-footprint 5, ReCiPe characterization","Cassava root, dried, at farm/TH Economic"
Crop,Cassava,Thailand,Land use,m2a / kg,Mass,1.24,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Cassava root, dried, at farm/TH Mass"
Crop,Cassava,Thailand,Land use,m2a / kg,Gross energy content,0.124,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Cassava root, dried, at farm/TH Energy"
Crop,Cassava,Thailand,Land use,m2a / kg,Economic,1.24,"Agri-footprint 5, ReCiPe characterization, corrected land use characterization factors","Cassava root, dried, at farm/TH Economic"
Crop,Cassava,Thailand,Marine eutrophication,kg N-eq / kg,Mass,0.00107,"Agri-footprint 5, ReCiPe characterization","Cassava root, dried, at farm/TH Mass"
Crop,Cassava,Thailand,Marine eutrophication,kg N-eq / kg,Gross energy content,0.00107,"Agri-footprint 5, ReCiPe characterization","Cassava root, dried, at farm/TH Energy"
Crop,Cassava,Thailand,Marine eutrophication,kg N-eq / kg,Economic,0.00107,"Agri-footprint 5, ReCiPe characterization","Cassava root, dried, at farm/TH Economic"
Crop,Cassava,Thailand,Water consumption,m3 / kg,Mass,0.0184,"Agri-footprint 5, ReCiPe characterization","Cassava root, dried, at farm/TH Mass"
Crop,Cassava,Thailand,Water consumption,m3 / kg,Gross energy content,0.0184,"Agri-footprint 5, ReCiPe characterization","Cassava root, dried, at farm/TH Energy"
Crop,Cassava,Thailand,Water consumption,m3 / kg,Economic,0.0184,"Agri-footprint 5, ReCiPe characterization","Cassava root, dried, at farm/TH Economic"
Crop,Corn gluten meal,France,Freshwater eutrophication,kg P-eq / kg,Mass,0.00016,"Agri-footprint 5, ReCiPe characterization","Maize gluten meal dried, at processing/FR Mass"
Crop,Corn gluten meal,United States,Freshwater eutrophication,kg P-eq / kg,Mass,0.00023,"Agri-footprint 5, ReCiPe characterization","Maize gluten meal dried, at processing/US Mass"
Crop,Corn gluten meal,France,Freshwater eutrophication,kg P-eq / kg,Gross energy content,0.00018,"Agri-footprint 5, ReCiPe characterization","Maize gluten meal dried, at processing/FR Energy"
Crop,Corn gluten meal,United States,Freshwater eutrophication,kg P-eq / kg,Gross energy content,0.00028,"Agri-footprint 5, ReCiPe characterization","Maize gluten meal dried, at processing/US Energy"
Crop,Corn gluten meal,France,Freshwater eutrophication,kg P-eq / kg,Economic,0.00021,"Agri-footprint 5, ReCiPe characterization","Maize gluten meal dried, at processing/FR Economic"
Crop,Corn gluten meal,United States,Freshwater eutrophication,kg P-eq / kg,Economic,0.00031,"Agri-footprint 5, ReCiPe characterization","Maize gluten meal dried, at processing/US Economic"
Crop,Corn gluten meal,France,Global warming potential,kg CO2-eq / kg,Mass,0.398,"Agri-footprint 5, ReCiPe characterization","Maize gluten meal dried, at processing/FR Mass"
Crop,Corn gluten meal,United States,Global warming potential,kg CO2-eq / kg,Mass,0.611,"Agri-footprint 5, ReCiPe characterization","Maize gluten meal dried, at processing/US Mass"
Crop,Corn gluten meal,France,Global warming potential,kg CO2-eq / kg,Gross energy content,0.432,"Agri-footprint 5, ReCiPe characterization","Maize gluten meal dried, at processing/FR Energy"
Crop,Corn gluten meal,United States,Global warming potential,kg CO2-eq / kg,Gross energy content,0.672,"Agri-footprint 5, ReCiPe characterization","Maize gluten meal dried, at processing/US Energy"
Crop,Corn gluten meal,France,Global warming potential,kg CO2-eq / kg,Economic,0.46,"Agri-footprint 5, ReCiPe characterization","Maize gluten meal dried, at processing/FR Economic"
