gear,fui,ghg,species
Bottom Trawls,1300,5391,northern Australian shrimps and prawns
Bottom Trawls,1351,5602,northern Australian shrimps and prawns
Bottom Trawls,1624,6734,northern Australian shrimps and prawns
Bottom Trawls,1662,6892,northern Australian shrimps and prawns
Bottom Trawls,2338,9695,northern Australian shrimps and prawns
Bottom Trawls,2382,9877,northern Australian shrimps and prawns
Bottom Trawls,2559,10611,northern Australian shrimps and prawns
Bottom Trawls,2602,10790,northern Australian shrimps and prawns
Bottom Trawls,2680,11113,northern Australian shrimps and prawns
Bottom Trawls,2804,11627,northern Australian shrimps and prawns
Bottom Trawls,3029,12560,northern Australian shrimps and prawns
Bottom Trawls,3118,12929,northern Australian shrimps and prawns
Bottom Trawls,3282,13609,northern Australian shrimps and prawns
Bottom Trawls,3307,13713,northern Australian shrimps and prawns
Bottom Trawls,3503,14526,northern Australian shrimps and prawns
Bottom Trawls,3571,14808,northern Australian shrimps and prawns
Bottom Trawls,3580,14845,northern Australian shrimps and prawns
Bottom Trawls,4057,16823,northern Australian shrimps and prawns
Bottom Trawls,4664,19340,northern Australian shrimps and prawns
Bottom Trawls,5114,21206,northern Australian shrimps and prawns
Bottom Trawls,3871,16052,northern Australian shrimps and prawns
Bottom Trawls,4000,16587,northern Australian shrimps and prawns
Bottom Trawls,4021,16674,northern Australian shrimps and prawns
Bottom Trawls,4506,18685,northern Australian shrimps and prawns
Bottom Trawls,4748,19688,northern Australian shrimps and prawns
Bottom Trawls,4841,20074,northern Australian shrimps and prawns
Bottom Trawls,4897,20306,northern Australian shrimps and prawns
Bottom Trawls,5015,20796,northern Australian shrimps and prawns
Bottom Trawls,5440,22558,northern Australian shrimps and prawns
Bottom Trawls,5446,22583,northern Australian shrimps and prawns
Bottom Trawls,5626,23329,northern Australian shrimps and prawns
Bottom Trawls,5683,23566,northern Australian shrimps and prawns
Bottom Trawls,5721,23723,northern Australian shrimps and prawns
Bottom Trawls,6044,25062,northern Australian shrimps and prawns
Bottom Trawls,6225,25813,northern Australian shrimps and prawns
Bottom Trawls,7965,33028,northern Australian shrimps and prawns
Bottom Trawls,1173,4864,northern Australian shrimps and prawns
Bottom Trawls,1266,5250,northern Australian shrimps and prawns
Bottom Trawls,1435,5950,northern Australian shrimps and prawns
Bottom Trawls,1473,6108,northern Australian shrimps and prawns
Bottom Trawls,1485,6158,northern Australian shrimps and prawns
Bottom Trawls,1591,6597,northern Australian shrimps and prawns
Bottom Trawls,1594,6610,northern Australian shrimps and prawns
Bottom Trawls,1597,6622,northern Australian shrimps and prawns
Bottom Trawls,1644,6817,northern Australian shrimps and prawns
Bottom Trawls,1694,7024,northern Australian shrimps and prawns
Bottom Trawls,1843,7642,northern Australian shrimps and prawns
Bottom Trawls,1853,7684,northern Australian shrimps and prawns
Bottom Trawls,1866,7738,northern Australian shrimps and prawns
Bottom Trawls,1974,8186,northern Australian shrimps and prawns
Bottom Trawls,1996,8277,northern Australian shrimps and prawns
Bottom Trawls,2016,8360,northern Australian shrimps and prawns
Bottom Trawls,2065,8563,northern Australian shrimps and prawns
Bottom Trawls,2261,9376,northern Australian shrimps and prawns
Bottom Trawls,2667,11059,northern Australian shrimps and prawns
Bottom Trawls,2687,11142,northern Australian shrimps and prawns
Bottom Trawls,2792,11577,northern Australian shrimps and prawns
Bottom Trawls,2798,11602,northern Australian shrimps and prawns
Bottom Trawls,2979,12353,northern Australian shrimps and prawns
Bottom Trawls,3462,14356,northern Australian shrimps and prawns
Bottom Trawls,65,270,mix of European species
Bottom Trawls,2317,9608,mix of European species
Bottom Trawls,2361,9790,mix of European species
Bottom Trawls,2606,10806,mix of European species
Bottom Trawls,2716,11262,mix of European species
Bottom Trawls,2746,11387,mix of European species
Bottom Trawls,2805,11631,mix of European species
Bottom Trawls,2855,11839,mix of European species
Bottom Trawls,3003,12452,mix of European species
Bottom Trawls,3007,12469,mix of European species
Bottom Trawls,3023,12535,mix of European species
Bottom Trawls,3124,12954,mix of European species
Bottom Trawls,3193,13240,mix of European species
Bottom Trawls,3249,13473,mix of European species
Bottom Trawls,3290,13643,mix of European species
Bottom Trawls,3308,13717,mix of European species
Bottom Trawls,3330,13808,mix of European species
Bottom Trawls,3336,13833,mix of European species
Bottom Trawls,3392,14065,mix of European species
Bottom Trawls,3642,15102,mix of European species
Bottom Trawls,3668,15210,mix of European species
Bottom Trawls,4062,16844,mix of European species
Bottom Trawls,370,1534,mix of European species
Bottom Trawls,549,2277,mix of European species
Bottom Trawls,1646,6825,mix of European species
Bottom Trawls,914,3790,mix of European species
Bottom Trawls,381,1580,mix of European species
Bottom Trawls,1929,7999,mix of European species
Bottom Trawls,1941,8049,mix of European species
Bottom Trawls,2208,9156,mix of European species
Bottom Trawls,4103,17014,mix of European species
Bottom Trawls,4283,17760,mix of European species
Bottom Trawls,458,1899,mix of European species
Bottom Trawls,495,2053,mix of European species
