SeaWEED ID,Source,Species common name,Species scientific name,Strain,Product,Production_system,Note_on_system,Description,Country,Specific_location,Year,Sample_size,Environment,Intensity,Experimental,Polyculture_IAA,Yield_t_per_Ha,Yield_kg_per_m3,Grow_out_period_days,m2a_t,m3a_t,Mortality_rate,FCR,Feed_type,Feed_soy_percent,Feed_othercrops_percent,Feed_FMFO_percent,Feed_animal_percent,Feed_method,Electricity_kwh,Diesel_L,Petrol_L,NaturalGas_L,Energy_demand,Energy_units,Person_entering,Date_entered,Notes
48,Mungkung-2005-a,Giant tiger prawn,Penaeus monodon,,1.8 kg block-frozen shrimp,Intensive pond,,Shrimp processed into 3 kg blocks (1.8 kg shrimp and 1.2 kg ice),,,,,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
49,Baruthio-2008-a,Giant tiger prawn,Penaeus monodon,,1 tonne fresh,Extensive pond polyculture,,Shrimp harvested in polyculture (with crab,,,,,,Extensive,,Polyculture,,,,,,,,,,,,,,,,,,,,,,
51,Iribarren-2010-b,Mediterranean mussel,Mytilus galloprovincialis,,1 kg fresh mussels,Extensive raft culture,,Mussels packaged,,,,,,Extensive,,,,,,,,,,,,,,,,,,,,,,,,
54,Cao-2011-a,Whiteleg shrimp,Penaeus vannamei,,1 tonne live weight,Semi-intensive pond,Commercial for export,Shrimp grown using local broodstock,,,,,,Semi-intensive,,,,,,,,,,,,,,,,,,,,,,,,
55,Cao-2011-a,Whiteleg shrimp,Penaeus vannamei,,1 tonne live weight,Intensive pond,Commercial for local consumption,Shrimp grown using imported broodstock,,,,,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
56,Sun-2009-a,Penaeus shrimps nei,Penaeus spp,,1800 kg fresh shrimp,Indoor recirculating,Experimental,Shrimp grown in indoor recirculating facility,,,,,,Intensive,Y,,,,,,,,,,,,,,,,,,,,,,,
57,Pelletier-2010-a,Nile tilapia,Oreochromis niloticus,,1 tonne live weight,Intensive pond,Commercial,Tilapia harvested from intensive pond culture.,Indonesia,,2007,1 company,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
58,Pelletier-2010-a,Nile tilapia,Oreochromis niloticus,,1 tonne live weight,Intensive lake net-pen,Commercial,Tilapia harvested from lake-based net-pens.,Indonesia,,2007,1 company,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
60,Aubin-2009-a,European seabass,Dicentrarchus labrax,,1 tonne live weight,Marine cages,Commercial,Sea bass grown in marine cages.,Greece,Evoikos Gulf,2003,1 farm,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
61,Jerbi-2012-b,European seabass,Dicentrarchus labrax,,1 tonne live weight,Flow-through,Commercial,Sea bass grown in flow-through system using a traditional raceway.,Tunisia,,2007-2008,1 farm,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
62,Jerbi-2012-b,European seabass,Dicentrarchus labrax,,1 tonne live weight,Flow-through,Commercial,Sea bass grown in flow-through system using a cascade raceway.,Tunisia,,2007-2008,1 farm,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
63,Bosma-2009-a,Pangas catfishes nei,Pangasius spp,,1 tonne live weight,Intensive pond,Commercial,Production of catfish in intensive ponds.,Vietnam,Mekong Delta,2009,28 farms,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
64,Aubin-2006-a,Turbot,Scophthalmidae,,1 tonne live weight,Land-based recirculating,,Turbot grown in recirculating system.,France,Brittany,2000,1 farm,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
65,Myrvang-2006-a,Turbot,Scophthalmidae,,2 kg live weight,Land-based recirculating,Hypothetical,Production of turbot in a hypothetical farm using waste heat from a refinery.,Norway,Nord-Hordaland,,1 hypothetical farm,,Intensive,Y,,700,,730,28,,,,,,,,,,,,,,,,,,
66,Iribarren-2010-e,Turbot,Scophthalmidae,,1 kg turbot for consumption,Onshore tanks,,Turbot grown in onshore tanks,,,,,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
67,Phong-2011-a,Freshwater fishes nei,Osteichthyes,,1 kg live weight,Integrated agri-aquaculture,,Integrated systems growing numerous crops and raising livestock and fish,Vietnam,Mekong Delta,2002-2004,11 farms,,,,IAA,0,,,,,,,,,,,,,,,,,,,,,
68,Ayer-2007-a,Arctic char,Salvelinus alpinus,,1 tonne live weight,Land-based recirculating,,Arctic char grown in recirculating system.,Canada,Nova Scotia,,1 farm,,Intensive,,,,73,365,,13,,,,,,,,,,,,,,,,,
69,Ayer-2007-a,Atlantic salmon,Salmo salar,,1 tonne live weight,Marine net-pen,,Atlantic salmon grown in marine net-pens.,Canada,British Columbia,,10 net pens,,Intensive,,,,20,720,0,98,,,,,,,,,,,,,,,,,
70,Ayer-2007-a,Atlantic salmon,Salmo salar,,1 tonne live weight,Marine floating bag,,Atlantic salmon grown in floating bag system.,Canada,British Columbia,2001-2002,6 bags,,Intensive,,,,35,420,0,32,,,,,,,,,,,,,,,,,
71,Ayer-2007-a,Atlantic salmon,Salmo salar,,1 tonne live weight,Saltwater flow-through,,Atlantic salmon grown in flow-through system.,Canada,British Columbia,2001-2002,3 tanks,,Intensive,,,,38,540,,38,,,,,,,,,,,,,,,,,
72,Boissy-2011-a,Atlantic salmon,Salmo salar,,1 tonne live weight,Marine cages,Commercial,Atlantic salmon grown in marine cages with standard feed.,United Kingdom,Scotland,2007-2009,1 farm,,Intensive,,,,,,0,,,1.1,Compound,18,26,55,0,,861,372,,,,,Rob,12/20/03,
73,Boissy-2011-a,Atlantic salmon,Salmo salar,,1 tonne live weight,Marine cages,Experimental,Atlantic salmon grown in marine cages,,,,,,Intensive,Y,,,,,0,,,,,,,,,,,,,,,,,,
74,Pelletier-2009-a,Atlantic salmon,Salmo salar,,1 tonne live weight,Marine net-pen,Commercial,Atlantic salmon grown in marine cages.,Norway,,2007,>15% regional production,,Intensive,,,,,,0,,,1.1,Compound,0,41,59,0,,20,15,,,,,Rob,12/20/03,Split crop and soy based on supplemental materials
75,Pelletier-2009-a,Atlantic salmon,Salmo salar,,1 tonne live weight,Marine net-pen,Commercial,Atlantic salmon grown in marine cages.,UK,,2007,>15% regional production,,Intensive,,,,,,0,,,1.3,Compound,0,33,67,0,,42,20,,,,,Rob,12/20/03,Split crop and soy based on supplemental materials
76,Pelletier-2009-a,Atlantic salmon,Salmo salar,,1 tonne live weight,Marine net-pen,Commercial,Atlantic salmon grown in marine cages.,Canada,,2007,>15% regional production,,Intensive,,,,,,0,,,1.3,Compound,0,24,32,20,,,21,3,1,,,Rob,12/20/03,Split crop and soy based on supplemental materials
77,Pelletier-2009-a,Atlantic salmon,Salmo salar,,1 tonne live weight,Marine net-pen,Commercial,Atlantic salmon grown in marine cages.,Chile,,2007,>15% regional production,,Intensive,,,,,,0,,,1.5,Compound,0,43,42,15,,63,21,5,,,,Rob,12/20/03,Split crop and soy based on supplemental materials
78,Buchspies-2011-a,Atlantic salmon,Salmo salar,,1 kg fillet,Marine net-pen,,Atlantic salmon grown in net-pens,,,,,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
79,Ellingsen-2006-a,Atlantic salmon,Salmo salar,,200 g fillet (= 460 g live weight),Marine net-pen,,Atlantic salmon grown in net-pens,,,,,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
80,Aubin-2009-a,Rainbow trout,Oncorhynchus mykiss,,1 tonne live weight,Freshwater flow-through,,Rainbow trout grown in flow-through system.,France,Aquitaine,2000,1 farm,,Intensive,,,,,,,,,,,,,,,,,,,,,,,,
81,Boissy-2011-a,Rainbow trout,Oncorhynchus mykiss,,1 tonne live weight,Freshwater flow-through,Commercial,Rainbow trout grown in flow-through system with standard feed.,France,Southwest France,2007-2009,1 farm,,Intensive,,,,,,,,,1.1,Compound,28,42,30,0,,2767,404,,,,,Rob,12/20/03,
82,Boissy-2011-a,Rainbow trout,Oncorhynchus mykiss,,1 tonne live weight,Freshwater flow-through,Experimental,Rainbow trout grown in flow-through system,,,,,,Intensive,Y,,,,,,,,,,,,,,,,,,,,,,,
