Species.scientific.name,Species.common.name,SeaWEED.ID,Source,Strain,Product,Production_system,Note_on_system,Description,Country,Specific_location,Year,Sample_size,Environment,Intensity,Yield_per_HA,Grow_out_period_days,Mortality_rate,FCR,Feed_type,Feed_soy_percent,Feed_othercrops_percent,Feed_FMFO_percent,Feed_animal_percent,Feed_method,Electricity_kwh,Diesel_L,Petrol_L,NaturalGas_L,Energy_demand,Energy_units,Person_entering,Date_entered,Notes,Production.volume.2018,USD.per.tonne,Taxonomy,Diet,ISSCAAP_Group,EcologyRefNo,HabitatsRef,DietTroph,DietSeTroph,DietTLu,DietseTLu,FoodTroph,FoodSeTroph,Species..Family.,ASFIS,Species..Main.grouping.,Species..Order.,Environment..Environment.,HighLevelISSCAAP
Acipenseridae,Sturgeons nei,,SFW (from expert),,,Tanks / raceway,,,USA,,2013.0,,,,,,,2.5,Assumed compound,,28.8,71.2,0,,,,,,,,Rob,43902,"SFW values are difficult to determine if they double count values we have from elsewhere. I've avoided records that explicitly state that they are from a particular LCA or other data that we already include, e.g. T&M","114313,25",5564,Teleost,Carnivorous,21,,,,,,,,,,,,,,diadromous
Anguilla spp,River eels nei,,SFW (lit and expert),,,Ponds,,,"China, Japan, Taiwan, Korea",,2013.0,,,,,,,1.4,Assumed compound,,62.5,37.5,0,,,,,,,,Rob,43902,"Species unknown (listed as freshwater eel); SFW values are difficult to determine if they double count values we have from elsewhere. I've avoided records that explicitly state that they are from a particular LCA or other data that we already include, e.g. T&M",,,Teleost,Carnivorous,22,,,,,,,,,ANGUILLIDAE,1430200200,PISCES,ANGUILLIFORMES,Freshwater,diadromous
Anguilla spp,River eels nei,,SFW (lit and expert),,,Ponds,,,"China, Japan, Taiwan, Korea",,2013.0,,,,,,,1.4,Assumed compound,,62.5,37.5,0,,,,,,,,Rob,43902,"Species unknown (listed as freshwater eel); SFW values are difficult to determine if they double count values we have from elsewhere. I've avoided records that explicitly state that they are from a particular LCA or other data that we already include, e.g. T&M",,,Teleost,Carnivorous,22,,,,,,,,,ANGUILLIDAE,1430200200,PISCES,ANGUILLIFORMES,Brackishwater,diadromous
Anoplopoma fimbria,Sablefish,,SFW (company data),,,Net pen,,,Canada,,2014.0,,,,,,,1.4,Assumed compound,,66,34,0,,,,,,,,Rob,43902,,,,Teleost,Carnivorous,34,2850,2850,3.84,0.205,,,4.12,0.85,,,,,,marine
Chanos chanos,Milkfish,218,Henriksson et al. 2019,,1 tonne live wet-weight,Earthen pond aquaculture,,,Indonesia,"Java, Sumatra, and Lombok",2017.0,3.0,,Extensive,,,,1.92,Compound,6.0,89.5,2.5,2,Hand fed,256.0,,,,,,Patrik,43927,,"1327153,05",1648,Teleost,Omnivorous,25,49,49,,,2.03,0.06,2.40000009536743,0.2,CHANIDAE,1220200101,PISCES,GONORYNCHIFORMES,Marine,diadromous
Chanos chanos,Milkfish,218,Henriksson et al. 2019,,1 tonne live wet-weight,Earthen pond aquaculture,,,Indonesia,"Java, Sumatra, and Lombok",2017.0,3.0,,Extensive,,,,1.92,Compound,6.0,89.5,2.5,2,Hand fed,256.0,,,,,,Patrik,43927,,"1327153,05",1648,Teleost,Omnivorous,25,49,49,,,2.03,0.06,2.40000009536743,0.2,CHANIDAE,1220200101,PISCES,GONORYNCHIFORMES,Freshwater,diadromous
Chanos chanos,Milkfish,218,Henriksson et al. 2019,,1 tonne live wet-weight,Earthen pond aquaculture,,,Indonesia,"Java, Sumatra, and Lombok",2017.0,3.0,,Extensive,,,,1.92,Compound,6.0,89.5,2.5,2,Hand fed,256.0,,,,,,Patrik,43927,,"1327153,05",1648,Teleost,Omnivorous,25,49,49,,,2.03,0.06,2.40000009536743,0.2,CHANIDAE,1220200101,PISCES,GONORYNCHIFORMES,Brackishwater,diadromous
Chanos chanos,Milkfish,151,Aubin-2015-a,,1 tonne fresh,Extensive pond polyculture,,"Milkfish harvested in brackish water extensive pond polyculture system (with crab, tilapia, and shrimp)",Philippines,Pampanga,2007.0,15 farms,,,,,,,,,,,,,,,,,,,Rob,43902,"Polyculture, consider removing","1327153,05",1648,Teleost,Omnivorous,25,49,49,,,2.03,0.06,2.40000009536743,0.2,CHANIDAE,1220200101,PISCES,GONORYNCHIFORMES,Marine,diadromous
Chanos chanos,Milkfish,151,Aubin-2015-a,,1 tonne fresh,Extensive pond polyculture,,"Milkfish harvested in brackish water extensive pond polyculture system (with crab, tilapia, and shrimp)",Philippines,Pampanga,2007.0,15 farms,,,,,,,,,,,,,,,,,,,Rob,43902,"Polyculture, consider removing","1327153,05",1648,Teleost,Omnivorous,25,49,49,,,2.03,0.06,2.40000009536743,0.2,CHANIDAE,1220200101,PISCES,GONORYNCHIFORMES,Freshwater,diadromous
Chanos chanos,Milkfish,151,Aubin-2015-a,,1 tonne fresh,Extensive pond polyculture,,"Milkfish harvested in brackish water extensive pond polyculture system (with crab, tilapia, and shrimp)",Philippines,Pampanga,2007.0,15 farms,,,,,,,,,,,,,,,,,,,Rob,43902,"Polyculture, consider removing","1327153,05",1648,Teleost,Omnivorous,25,49,49,,,2.03,0.06,2.40000009536743,0.2,CHANIDAE,1220200101,PISCES,GONORYNCHIFORMES,Brackishwater,diadromous
Clarias batrachus,Clarias,215,Henriksson et al. 2019,,1 tonne live wet-weight,Earthern ponds,,,Indonesia,"Java, Sumatra, and Lombok",2017.0,5.0,,Intensive,,,,1.17,Compound,25.0,49.5,9.5,16,Hand fed,18.0,,,,,,Patrik,43927,,,,Teleost,Omnivorous,13,13497,13497,,,,,3.42,0.5,CLARIIDAE,1411803001,PISCES,SILURIFORMES,Freshwater,freshwater
Clarias gariepinus,North African catfish,165,Besson-2016-a,,1 tonne at farm gate,Recirculating system,Model,Catfish harvested from a recirculating system,Netherlands,,,"1 farm, 500 tonnes/year",,,,,,0.8,Compound,9.0,32,58,0,,1.0,,,,,,Rob,43902,"Hypothetical, consider removing; Check species","240860,25",2814,Teleost,Omnivorous,13,248,248,3.76,0.379,,,3.5,0.7,CLARIIDAE,1411803003,PISCES,SILURIFORMES,Freshwater,freshwater
Cynoscion spp,Weakfishes nei,148,Medeiros-2017-a,,1 kg animal biomass liveweight,Semi-intensive pond,,Black pacu harvested from monoculture semi-intensive ponds,Brazil,Sao Paulo,2013-2014,3 farms,,,,,,1.1,Compound,,,,,,1362.0,,,,,,Rob,43902,"Species is Cachema, check if specific species name available",,,Teleost,Carnivorous,33,,,,,,,,,,,,,,marine
Cynoscion spp,Weakfishes nei,149,Avadi-2015-b,,1 tonne live weight,Semi-intensive pond,Commercial,"Black pacu produced in semi-intensive ponds, fed an artisanal feed",Peru,,2012.0,5 farms,,,,,,1.7,Compound,34.0,56,6,0,,,11.0,,,,,Rob,43902,"Species is Cachema, check if specific species name available",,,Teleost,Carnivorous,33,,,,,,,,,,,,,,marine
Cyprinus carpio,Common carp,214,Henriksson et al. 2019,,1 tonne live wet-weight,Floating cages,,,Indonesia,"Java, Sumatra, and Lombok",2017.0,6.0,,Intensive,,,,1.81,Compound,26.0,44.5,11.5,18,Hand fed,515.0,,,,,,Patrik,43927,,"4189524,4",2084,Teleost,Omnivorous,11,185,185,3.06,,2.95,0.4,3.05,0.39,CYPRINIDAE,1400200201,PISCES,CYPRINIFORMES,Freshwater,freshwater
Cyprinus carpio,Common carp,214,Henriksson et al. 2019,,1 tonne live wet-weight,Floating cages,,,Indonesia,"Java, Sumatra, and Lombok",2017.0,6.0,,Intensive,,,,1.81,Compound,26.0,44.5,11.5,18,Hand fed,515.0,,,,,,Patrik,43927,,"4189524,4",2084,Teleost,Omnivorous,11,185,185,3.06,,2.95,0.4,3.05,0.39,CYPRINIDAE,1400200201,PISCES,CYPRINIFORMES,Brackishwater,freshwater
Cyprinus carpio,Common carp,213,Henriksson et al. 2019,,1 tonne live wet-weight,Earthern/concrete ponds,,,Indonesia,"Java, Sumatra, and Lombok",2017.0,8.0,,Intensive,,,,1.78,Compound,26.0,44.5,11.5,18,Hand fed or feeding machine,372.0,,,,,,Patrik,43927,,"4189524,4",2084,Teleost,Omnivorous,11,185,185,3.06,,2.95,0.4,3.05,0.39,CYPRINIDAE,1400200201,PISCES,CYPRINIFORMES,Freshwater,freshwater
Cyprinus carpio,Common carp,213,Henriksson et al. 2019,,1 tonne live wet-weight,Earthern/concrete ponds,,,Indonesia,"Java, Sumatra, and Lombok",2017.0,8.0,,Intensive,,,,1.78,Compound,26.0,44.5,11.5,18,Hand fed or feeding machine,372.0,,,,,,Patrik,43927,,"4189524,4",2084,Teleost,Omnivorous,11,185,185,3.06,,2.95,0.4,3.05,0.39,CYPRINIDAE,1400200201,PISCES,CYPRINIFORMES,Brackishwater,freshwater
Cyprinus carpio,Common carp,159,Mungkung-2013-a,,1 tonne fresh,Floating net-cage in polyculture pond,Commercial,"Carp produced in two-net aquaculture system (along with tilapia) in large, high-density farms",Indonesia,West Java,2005-2007,"30 farms; 18,450 kg per year per farm",,,,,,1.7,Compound,22.0,51,22,0,,,,,,,,Rob,43902,"Polyculture, consider removing","4189524,4",2084,Teleost,Omnivorous,11,185,185,3.06,,2.95,0.4,3.05,0.39,CYPRINIDAE,1400200201,PISCES,CYPRINIFORMES,Freshwater,freshwater
Cyprinus carpio,Common carp,159,Mungkung-2013-a,,1 tonne fresh,Floating net-cage in polyculture pond,Commercial,"Carp produced in two-net aquaculture system (along with tilapia) in large, high-density farms",Indonesia,West Java,2005-2007,"30 farms; 18,450 kg per year per farm",,,,,,1.7,Compound,22.0,51,22,0,,,,,,,,Rob,43902,"Polyculture, consider removing","4189524,4",2084,Teleost,Omnivorous,11,185,185,3.06,,2.95,0.4,3.05,0.39,CYPRINIDAE,1400200201,PISCES,CYPRINIFORMES,Brackishwater,freshwater
Cyprinus carpio,Common carp,160,Mungkung-2013-a,,1 tonne fresh,Floating net-cage in polyculture pond,Commercial,"Carp produced in two-net aquaculture system (along with tilapia) in small, low-density farms",Indonesia,West Java,2005-2007,"30 farms; 10,368 kg per year per farm",,,,,,2.1,Compound,22.0,51,22,0,,,,,,,,Rob,43902,"Polyculture, consider removing","4189524,4",2084,Teleost,Omnivorous,11,185,185,3.06,,2.95,0.4,3.05,0.39,CYPRINIDAE,1400200201,PISCES,CYPRINIFORMES,Freshwater,freshwater
Cyprinus carpio,Common carp,160,Mungkung-2013-a,,1 tonne fresh,Floating net-cage in polyculture pond,Commercial,"Carp produced in two-net aquaculture system (along with tilapia) in small, low-density farms",Indonesia,West Java,2005-2007,"30 farms; 10,368 kg per year per farm",,,,,,2.1,Compound,22.0,51,22,0,,,,,,,,Rob,43902,"Polyculture, consider removing","4189524,4",2084,Teleost,Omnivorous,11,185,185,3.06,,2.95,0.4,3.05,0.39,CYPRINIDAE,1400200201,PISCES,CYPRINIFORMES,Brackishwater,freshwater
Dicentrarchus labrax,European seabass,,SFW (from expert),,,Net pen,,,Mediterranean,,2013.0,,,,,,,2,Assumed compound,,31,65.6,3.36,,,,,,,,Rob,43902,"SFW values are difficult to determine if they double count values we have from elsewhere. I've avoided records that explicitly state that they are from a particular LCA or other data that we already include, e.g. T&M","235537,53",4948,Teleost,Carnivorous,33,231,231,,,3.79,0.6,3.47,0.5,MORONIDAE,1700634503,PISCES,PERCOIDEI,Freshwater,marine
Dicentrarchus labrax,European seabass,,SFW (from expert),,,Net pen,,,Mediterranean,,2013.0,,,,,,,2,Assumed compound,,31,65.6,3.36,,,,,,,,Rob,43902,"SFW values are difficult to determine if they double count values we have from elsewhere. I've avoided records that explicitly state that they are from a particular LCA or other data that we already include, e.g. T&M","235537,53",4948,Teleost,Carnivorous,33,231,231,,,3.79,0.6,3.47,0.5,MORONIDAE,1700634503,PISCES,PERCOIDEI,Brackishwater,marine
Dicentrarchus labrax,European seabass,,SFW (from expert),,,Net pen,,,Mediterranean,,2013.0,,,,,,,2,Assumed compound,,31,65.6,3.36,,,,,,,,Rob,43902,"SFW values are difficult to determine if they double count values we have from elsewhere. I've avoided records that explicitly state that they are from a particular LCA or other data that we already include, e.g. T&M","235537,53",4948,Teleost,Carnivorous,33,231,231,,,3.79,0.6,3.47,0.5,MORONIDAE,1700634503,PISCES,PERCOIDEI,Marine,marine
Dicentrarchus labrax,European seabass,60,Aubin-2009-a,,1 tonne live weight,Marine cages,Commercial,Sea bass grown in marine cages.,Greece,Evoikos Gulf,2003.0,"1 farm, 256 tonnes growth",,,,,,1.8,Compound,15.0,30,50,0,,,,,,,,Rob,43902,,"235537,53",4948,Teleost,Carnivorous,33,231,231,,,3.79,0.6,3.47,0.5,MORONIDAE,1700634503,PISCES,PERCOIDEI,Freshwater,marine
Dicentrarchus labrax,European seabass,60,Aubin-2009-a,,1 tonne live weight,Marine cages,Commercial,Sea bass grown in marine cages.,Greece,Evoikos Gulf,2003.0,"1 farm, 256 tonnes growth",,,,,,1.8,Compound,15.0,30,50,0,,,,,,,,Rob,43902,,"235537,53",4948,Teleost,Carnivorous,33,231,231,,,3.79,0.6,3.47,0.5,MORONIDAE,1700634503,PISCES,PERCOIDEI,Brackishwater,marine
Dicentrarchus labrax,European seabass,60,Aubin-2009-a,,1 tonne live weight,Marine cages,Commercial,Sea bass grown in marine cages.,Greece,Evoikos Gulf,2003.0,"1 farm, 256 tonnes growth",,,,,,1.8,Compound,15.0,30,50,0,,,,,,,,Rob,43902,,"235537,53",4948,Teleost,Carnivorous,33,231,231,,,3.79,0.6,3.47,0.5,MORONIDAE,1700634503,PISCES,PERCOIDEI,Marine,marine
Dicentrarchus labrax,European seabass,62,Jerbi-2012-b,,1 tonne live weight,Flow-through,Commercial,Sea bass grown in flow-through system using a cascade raceway.,Tunisia,,2007-2008,"1 farm, 2500 tonnes/year",,,,,,2.1,Compound,,,,,,,,,,,,Rob,43902,,"235537,53",4948,Teleost,Carnivorous,33,231,231,,,3.79,0.6,3.47,0.5,MORONIDAE,1700634503,PISCES,PERCOIDEI,Freshwater,marine
Dicentrarchus labrax,European seabass,62,Jerbi-2012-b,,1 tonne live weight,Flow-through,Commercial,Sea bass grown in flow-through system using a cascade raceway.,Tunisia,,2007-2008,"1 farm, 2500 tonnes/year",,,,,,2.1,Compound,,,,,,,,,,,,Rob,43902,,"235537,53",4948,Teleost,Carnivorous,33,231,231,,,3.79,0.6,3.47,0.5,MORONIDAE,1700634503,PISCES,PERCOIDEI,Brackishwater,marine
Dicentrarchus labrax,European seabass,62,Jerbi-2012-b,,1 tonne live weight,Flow-through,Commercial,Sea bass grown in flow-through system using a cascade raceway.,Tunisia,,2007-2008,"1 farm, 2500 tonnes/year",,,,,,2.1,Compound,,,,,,,,,,,,Rob,43902,,"235537,53",4948,Teleost,Carnivorous,33,231,231,,,3.79,0.6,3.47,0.5,MORONIDAE,1700634503,PISCES,PERCOIDEI,Marine,marine
