"TABLE 2 Composition of Important Feeds: Mineral Elements, Data Expressed As-Fed and Dry (100% Dry Matter)",,,,,,,,,,,,,,,,,,
Entry Num-ber,Feed Name Description,Interna- tional Feed Number,Dry Mat-ter (%),Cal- cium (%),Chlo- rine (%),Mag-ne-sium (%),Phos-pho-rus (%),Potas-sium (%),So-dium (%),Sul-fur (%),Co-balt (mg/ kg),Cop-per (mg/ kg),Io-dine (mg/ kg),Iron (mg/ kg),Man-ga-nese (mg/ kg),Sele-nium (mg/ kg),Zinc (mg/ kg),CP (%) crude protein
,ALFALFA Medi- ,,,,,,,,,,,,,,,,,
,cago sative ,,,,,,,,,,,,,,,,,
1,fresh,2-00-196,24,0.48,0.11,0.07,0.07,0.51,0.05,0.09,0.03,2,?,70,10,?,4,
2,,,100,1.96,0.47,0.27,0.3,2.09,0.19,0.37,0.13,10,?,286,43,?,18,
3,"hay, sun-cured",1-00-078,90,1.64,0.34,0.27,0.22,2.03,0.15,0.27,0.21,10,?,175,28,0.49,22,
4,,,100,1.82,0.37,0.3,0.24,2.26,0.17,0.3,0.23,11,?,195,31,0.54,24,
5,"hay, sun-cured,",1-00-050,90,1.62,0.31,0.23,0.32,1.99,0.2,0.57,0.09,10,?,228,41,?,22,
6,early vegetative,,100,18,0.34,0.26,0.35,2.21,0.22,0.63,0.1,11,?,253,45,?,24,
7,"hay, sun-cured",1-00-054,90,1.38,0.31,0.22,0.26,2.29,0.13,0.28,0.08,8,?,204,30,?,25,
8,late vegetative,,100,1.54,0.34,0.24,0.29,2.56,0.15,0.31,0.09,9,?,227,34,?,27,
9,"hay, sun-cured,",1-00-059,90,1.27,0.34,0.29,0.2,2.27,0.13,0.25,0.15,10,?,173,27,0.49,22,
10,early bloom,,100,1.41,0.38,0.33,0.22,2.52,0.14,0.28,0.16,11,?,192,31,0.54,25,
11,"hay, sun-cured,",1-00-063,90,1.27,0.34,0.28,0.22,1.54,0.11,0.26,0.32,13,?,121,25,?,21,
12,midbloom,,100,1.41,0.38,0.31,0.24,1.71,0.12,0.28,0.36,14,?,134,28,?,23,
13,"hay, sun-cured,",1-00-068,90,1.13,?,0.28,0.2,1.38,0.1,0.25,0.29,13,?,135,34,?,22,
14,full bloom,,100,1.25,?,0.31,0.22,1.53,0.11,0.27,0.33,14,?,150,37,?,25,
15,"hay, sun-cured,",1-00-071,91,1.03,?,0.24,0.17,1.62,0.08,0.23,0.08,13,?,139,40,?,22,
