,Year,Country,iso3c,Scientific.Name,Common.Name,Production_system,Sample_size,Environment,Intensity,Yield_t_per_Ha,Yield_kg_per_m3,Grow_out_period_days,Mortality_rate,FCR,Feed_type,Feed_soy_percent,Feed_othercrops_percent,Feed_FMFO_percent,Feed_animal_percent,Feed_method,Electricity_kwh,Diesel_L,Petrol_L,NaturalGas_L,Production_system_group,clean_sci_name,feed_soy_new,feed_crops_new,feed_fmfo_new,feed_animal_new,sum_for_rescaling_feed,N,P,N_fat,P_fat,N_built_in
1,,,NA,Penaeus monodon,Giant tiger prawn,Intensive pond,,NA,intensive,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,semi,Penaeus monodon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,,,NA,Penaeus monodon,Giant tiger prawn,Extensive pond polyculture,,NA,extensive,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,semi,Penaeus monodon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2009,Vietnam,VNM,Pangasius,Pangas catfishes nei,Intensive pond,28 farms,NA,intensive,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,semi,Pangasius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2000,France,FRA,Scophthalmidae,Turbot,Land-based recirculating,1 farm,NA,intensive,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,closed,Scophthalmidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,,,NA,Scophthalmidae,Turbot,Onshore tanks,,NA,intensive,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,closed,Scophthalmidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2002-2004,Vietnam,VNM,Osteichthyes,Freshwater fishes nei,Integrated agri-aquaculture,11 farms,NA,NA,0,NA,NA,,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Freshwater fishes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,,Canada,CAN,Salvelinus alpinus,Arctic char,Land-based recirculating,1 farm,NA,intensive,NA,73,365,,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,closed,Salvelinus alpinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2006,France,FRA,Salmonidae,Salmonids nei,Flow-through,1 farm,NA,intensive,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,closed,Salmonidae,NA,NA,NA,NA,NA,NA,NA,10.14975507,2.274877537,NA
9,,United Kingdom,GBR,Salmonidae,Salmonids nei,Unspecified,,NA,intensive,NA,NA,NA,,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,Salmonidae,NA,NA,NA,NA,NA,NA,NA,10.14975507,2.274877537,NA
10,2011-2012,Vietnam,VNM,Penaeus monodon,Giant tiger prawn,Extensive pond polyculture,21 farms,NA,extensive,0,NA,NA,,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,semi,Penaeus monodon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
